ageRange,industry,annualSalary,addIncome,currency,workCountry,usState,usCity,overallProExp,fieldExp,eduLevel,gender,race,totalCompensation,compUSD
25-34,Education (Higher Education),55000,0.0,USD,USA,Massachusetts,Boston,5-7,5-7,Master's degree,Woman,White,55000.0,55000.0
25-34,Computing or Tech,54600,4000.0,GBP,UK,,Cambridge,8-10,5-7,College degree,Non-binary,White,58600.0,78524.0
25-34,"Accounting, Banking & Finance",34000,0.0,USD,USA,Tennessee,Chattanooga,2-4,2-4,College degree,Woman,White,34000.0,34000.0
25-34,Nonprofits,62000,3000.0,USD,USA,Wisconsin,Milwaukee,8-10,5-7,College degree,Woman,White,65000.0,65000.0
25-34,"Accounting, Banking & Finance",60000,7000.0,USD,USA,South Carolina,Greenville,8-10,5-7,College degree,Woman,White,67000.0,67000.0
25-34,Education (Higher Education),62000,0.0,USD,USA,New Hampshire,Hanover,8-10,2-4,Master's degree,Man,White,62000.0,62000.0
25-34,Publishing,33000,2000.0,USD,USA,South Carolina,Columbia,2-4,2-4,College degree,Woman,White,35000.0,35000.0
25-34,Education (Primary/Secondary),50000,0.0,USD,USA,Arizona,Yuma,5-7,5-7,Master's degree,Man,White,50000.0,50000.0
45-54,Computing or Tech,112000,10000.0,USD,USA,Missouri,St. Louis,21-30,21-30,College degree,Woman,White,122000.0,122000.0
35-44,"Accounting, Banking & Finance",45000,0.0,USD,USA,Florida,Palm Coast,21-30,21-30,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",45000.0,45000.0
25-34,Nonprofits,47500,0.0,USD,USA,,"Boston, MA",5-7,5-7,College degree,Woman,White,47500.0,47500.0
35-44,Education (Higher Education),62000,0.0,USD,USA,Pennsylvania,Scranton,11-20,5-7,PhD,Woman,"Hispanic, Latino, or Spanish origin, White",62000.0,62000.0
35-44,"Accounting, Banking & Finance",100000,0.0,USD,USA,Michigan,Detroit,11-20,11-20,College degree,Man,"Asian or Asian American, White",100000.0,100000.0
18-24,Health care,32000,0.0,CAD,CANADA,,Remote,0-1,0-1,College degree,Woman,White,32000.0,23040.0
35-44,Utilities & Telecommunications,24000,500.0,GBP,UK,,Lincoln,11-20,5-7,College degree,Man,White,24500.0,32830.0
35-44,Business or Consulting,85000,5000.0,USD,USA,Illinois,Chicago,8-10,8-10,Some college,Woman,White,90000.0,90000.0
45-54,Art & Design,59000,0.0,USD,USA,California,Pomona,21-30,21-30,College degree,Woman,White,59000.0,59000.0
35-44,Business or Consulting,98000,1000.0,USD,USA,Georgia,Atlanta,11-20,2-4,Master's degree,Woman,White,99000.0,99000.0
35-44,Education (Higher Education),54000,0.0,USD,USA,Florida,Boca Raton,11-20,11-20,Master's degree,Woman,White,54000.0,54000.0
25-34,Health care,74000,0.0,USD,USA,Pennsylvania,Philadelphia,5-7,5-7,Master's degree,Woman,White,74000.0,74000.0
35-44,Nonprofits,50000,0.0,USD,USA,,Atlanta,5-7,2-4,PhD,Woman,White,50000.0,50000.0
35-44,Nonprofits,63000,0.0,CAD,CANADA,,Toronto,11-20,8-10,Master's degree,Woman,White,63000.0,45360.0
35-44,Government and Public Administration,96000,1000.0,USD,USA,Ohio,Dayton,8-10,2-4,PhD,Woman,Asian or Asian American,97000.0,97000.0
35-44,Education (Higher Education),60000,0.0,USD,USA,Michigan,Ann Arbor,11-20,0-1,Master's degree,Woman,White,60000.0,60000.0
25-34,Nonprofits,62000,0.0,USD,USA,District of Columbia,Washington DC,5-7,2-4,College degree,Man,White,62000.0,62000.0
35-44,Law,48000,4000.0,USD,USA,Maryland,Silver Spring,11-20,2-4,College degree,Woman,Another option not listed here or prefer not to answer,52000.0,52000.0
35-44,Government and Public Administration,140000,0.0,USD,USA,District of Columbia,Washington,11-20,11-20,Master's degree,Woman,White,140000.0,140000.0
25-34,Engineering or Manufacturing,80000,0.0,USD,USA,Texas,San Antonio,5-7,5-7,College degree,Woman,White,80000.0,80000.0
25-34,Nonprofits,39000,0.0,USD,USA,Minnesota,Minneapolis,2-4,2-4,College degree,Woman,White,39000.0,39000.0
